X,Y,ogc_fid,fid,osm_id,code,fclass,name
16.5802246,50.772134,59,74,"588394766",5601,railway_station,Mościsko Dzierżoniowskie
17.214393,50.9722614,60,75,"606349229",5602,railway_halt,Lizawice
16.3019328,51.0145349,61,76,"612312822",5601,railway_station,Rogoźnica
16.7401009,50.9053179,62,77,"634146395",5602,railway_halt,Sobótka
16.0030366,50.7058495,63,78,"634385567",5602,railway_halt,Lubawka
16.2440979,50.4298044,64,79,"637065353",5601,railway_station,Kudowa-Zdrój
16.9742551,51.0966298,65,80,"660586292",5602,railway_halt,Wrocław Grabiszyn
16.9018748,51.4753316,66,81,"660810005",5601,railway_station,Żmigród
15.4200276,51.0563184,67,82,"678947526",5602,railway_halt,Ubocze
16.6368908,50.3923505,68,83,"700897059",5602,railway_halt,Krosnowice Kłodzkie
17.3646194,51.2165073,69,84,"703660050",5602,railway_halt,Oleśnica Rataje
16.3221941,50.7299222,70,85,"709404478",5602,railway_halt,Jedlina-Zdrój Borowa
17.02458,50.8789262,71,86,"746756709",5601,railway_station,Boreczek
17.0462196,50.8296041,72,87,"746756710",5602,railway_halt,Warkocz
16.7579648,50.5095162,73,88,"746758076",5601,railway_station,Bardo Przyłęk
16.7340785,50.5048471,74,89,"746758106",5602,railway_halt,Bardo Śląskie
16.6708689,50.4776747,75,90,"746759958",5602,railway_halt,Ławica
16.6552382,50.2131508,76,91,"746760864",5601,railway_station,Domaszków
16.6657711,50.1876966,77,92,"746761221",5602,railway_halt,Roztoki Bystrzyckie
16.6469871,50.2855574,78,93,"747140661",5601,railway_station,Bystrzyca Kłodzka Przedmieście
17.0329905,51.1256579,79,94,"789996265",5601,railway_station,Wrocław Nadodrze
15.1078618,51.0951205,80,95,"790682004",5602,railway_halt,Mikułowa
16.9426924,50.5072887,81,96,"833677096",5602,railway_halt,Doboszowice
16.2852337,50.7862286,82,97,"842079165",5601,railway_station,Wałbrzych Miasto
16.3858127,50.4090324,83,98,"873825601",5601,railway_station,Duszniki-Zdrój
